Functions,CPU Time (s),Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local DRAM,Remote DRAM,Remote Cache,Store Bound,Core Bound,CPU Time %,batch_size,gpus
ImagingUnpackRGB,140.37,88.2,6.3,1.4,0.6,0.0,0.0,11.5,0.0,0.0,0.0,0.4,3.8,1.6266569170001695,1024,2
__memset_avx2_unaligned_erms,28.575,44.3,29.8,27.2,5.4,0.0,0.0,12.1,0.0,0.0,0.0,2.8,0.0,0.33113714756201357,1024,2
_int_free,7.945,30.3,59.4,14.2,10.7,0.0,21.4,42.8,0.0,0.0,0.0,0.6,0.0,0.0920694536266036,1024,2
__libc_calloc,3.02,9.9,42.6,0.0,18.6,3.7,20.4,11.1,0.0,0.0,0.0,13.0,9.0,0.034996821894568014,1024,2
decode_mcu,1871.807,40.9,8.2,41.3,16.9,0.1,0.1,15.2,0.0,0.0,0.0,0.0,5.9,21.591187764654862,1024,3
jpeg_idct_islow,1477.166,69.0,2.8,6.3,1.7,0.0,0.0,13.6,0.0,0.0,0.0,0.2,20.7,17.039026173940027,1024,3
ImagingResampleHorizontal_8bpc,650.461,88.6,1.5,1.6,0.6,0.2,0.1,15.8,0.3,0.0,0.0,0.1,7.8,7.503030806373288,1024,3
ycc_rgb_convert,548.136,84.9,0.4,0.5,0.2,0.0,0.0,13.7,0.0,0.0,0.0,0.1,13.4,6.322717724940048,1024,3
ImagingResampleVertical_8bpc,455.95,87.6,0.2,0.7,0.9,0.0,0.2,11.2,0.0,0.0,0.0,0.1,10.9,5.259357434444034,1024,3
__memmove_avx_unaligned_erms,234.655,7.8,1.6,0.0,21.4,14.4,28.2,65.1,23.4,1.0,0.0,79.5,8.2,2.7067321390052963,1024,3
jpeg_idct_16x16,229.4,88.2,1.0,1.3,0.4,0.0,0.0,13.2,0.0,0.0,0.0,0.7,8.9,2.6461160115395583,1024,3
decompress_onepass,145.595,54.1,5.3,21.3,3.5,0.1,0.0,13.0,0.0,0.0,0.0,0.2,17.3,1.6794300815174454,1024,3
