,CPU Time (s),Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local DRAM,Remote DRAM,Remote Cache,Store Bound,Core Bound,CPU Time %,Function,config,python_func
48,90.24668168507229,1665111930204.0913,802821823491.2583,178404849664.72406,4103311542288.654,2973414161078.7344,4787196799336.764,23281832881246.492,29734141610787.344,29734141610787.344,0.0,27325676140313.57,1546175363760.942,0.8780354796300176,AVX2::direct_copy_kernel(float),16,Normalize
57,31.37,6810848000000.0,123833600000.00002,0.0,686713600000.0,315212800000.0,45030400000.0,2026368000000.0,0.0,0.0,0.0,1204563200000.0,2071398400000.0,0.3052075985697954,ImagingFlipLeftRight,16,RandomHorizontalFlip
44,537.191,148178776000000.0,3038648000000.0,0.0,5898552000000.0,178744000000.0,893720000000.0,9294688000000.0,1429952000000.0,0.0,0.0,1072464000000.0,25917880000000.0,5.226483107532898,ImagingResampleVertical_8bpc,16,RandomResizedCrop
46,73.41261985725313,1295150187783.6414,423414484467.72894,74720203141.36392,6351217267015.934,1768378141012.2795,3511849547644.1045,11706165158813.682,24906734380454.645,547948156370.00214,0.0,19178185472950.074,2191792625480.0085,0.7142521329725695,__memmove_avx_unaligned_erms,16,RandomResizedCrop
42,761.416,217448616000000.0,6931656000000.0,0.0,6674928000000.0,513456000000.0,770184000000.0,20538240000000.0,513456000000.0,0.0,0.0,0.0,30550632000000.0,7.408031522875976,ImagingResampleHorizontal_8bpc,16,RandomResizedCrop
58,9.372942969649353,466483170274.34985,1338603879917.6995,257869578598.8642,110101617828.72853,78230096878.30711,1031478314395.4568,1185041097156.5781,223100646652.94992,0.0,0.0,43461164932.392845,388253073396.0427,0.09119201196360617,_int_free,16,RandomResizedCrop
46,26.84207466245481,473549617316.1862,154814297968.75317,27320170229.779972,2322214469531.298,646577362104.7927,1284048000799.6587,4280160002665.5293,9106723409926.658,200347915018.38647,0.0,7012177025643.526,801391660073.5459,0.26115413287723893,__memmove_avx_unaligned_erms,16,ToTensor
49,129.02327564935518,4924451607069.263,576737575602.7064,133093286677.54764,10115089787493.621,5323731467101.905,4658265033714.167,37177391411928.305,310551002247.61115,0.0,0.0,5412460324886.9375,13797337385572.44,1.2553039247863709,AVX2::div_true_kernel(float),16,ToTensor
58,3.427057030350647,170561629725.65012,489437720082.30035,94285621401.13579,40256782171.27146,28603503121.69288,377142485604.54315,433290102843.42175,81572953347.05006,0.0,0.0,15890835067.607155,141958126603.95724,0.03334280670688732,_int_free,16,ToTensor
52,105.44,35147200000000.0,527208000000.0,0.0,1124710400000.0,70294400000.0,246030400000.0,5026049600000.0,0.0,0.0,0.0,105441600000.0,0.0,1.0258555687981905,AVX2::direct_copy_kernel(unsigned char),16,ToTensor
53,77.355,3575880000000.0,194040000000.0,0.0,8066520000000.0,3187800000000.0,1801800000000.0,16022160000000.0,0.0,0.0,0.0,16798320000000.0,4407480000000.0,0.7526086639262521,"AVX2::copy_kernel(char**long const*, long, long)",16,ToTensor
54,45.615,11292408000000.0,913003200000.0,448492800000.0,384422400000.0,432475200000.0,112123200000.0,3700065600000.0,0.0,0.0,0.0,1793971200000.0,2386622400000.0,0.4438012307542626,ImagingPackRGB,16,ToTensor
